Name,Category,Safety statement,Classification 1,Classification 2,Classification 3
bleomycin,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antibiotic cytotoxic agents,
blinatumomab (rch),C,,Antineoplastic Agents,Monoclonal antibodies,
boceprevir,B2,,Antimicrobials,Antiviral agents,
boceprevir with ribavirin and peginterferon alfa,X,"Although there are no pertinent human data, ribavirin has been found to be teratogenic and/or embryolethal in nearly all species in which it has been tested. Malformations of skull, palate, eye, jaw, skeleton and gastrointestinal tract were noted in animal studies. Survival of fetuses and offspring was reduced.",Antimicrobials,Antiviral agents,
bortezomib,C,"If sufficient placental transfer occurred, bortezomib has the potential to disrupt protein cycling in the developing fetus and, therefore, may have an adverse effect on fetal development.",Antineoplastic Agents,,
bosentan,X,"Teratogenicity is a class effect of these agents, which induce multiple fetal abnormalities in animal studies. These drugs are likely to cause major birth defects if used during pregnancy.",Cardiovascular System,Endothelin receptor antagonist,
botulinum toxin type A,B3,,Musculoskeletal System,Muscle relaxants,
brentuximab vedotin,D,IgG antibodies are known to cross the placental barrier and this drug binds to the epidermal growth factor receptor that is involved in fetal development.,Antineoplastic Agents,Monoclonal antibodies,
bretylium tosilate,C,This drug carries the potential for fetal hypoxia associated with maternal hypotension.,Cardiovascular System,Antiarrhythmics,
brexpiprazole,C,"Neonates exposed to antipsychotic drugs during the third trimester of pregnancy are at risk of extrapyramidal and/or withdrawal symptoms following delivery. There have been reports of agitation, hypertonia, hypotonia, tremor, somnolence, respiratory distress and feeding disorder in these neonates. These complications have varied in severity; while in some cases symptoms have been self-limited, in other cases neonates have required intensive care unit support and prolonged hospitalisation.",Central Nervous System,Antipsychotic drugs,
brexucabtagene autoleucel                                          ,C,"Based on the mechanism of action, if the transduced cells cross the placenta, they may cause fetal toxicity, including B-cell lymphocytopaenia.",Antineoplastic Agents,,
brigatinib,D,"Brigatinib may cause fetal harm when administered to a pregnant woman. Studies in animals have shown reproductive toxicity. In treated pregnant rats at doses approximately equivalent to the human dose, skeletal or visceral anomalies and malformations.  ",Antineoplastic Agents,Tyrosine kinase inhibitors,
brimonidine / brinzolamide,B3,,Ophthalmic Drugs,,
brimonidine / timolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Ophthalmic Drugs,,
brimonidine tartrate,B3,,Ophthalmic Drugs,,
brinzolamide,B3,,Ophthalmic Drugs,,
brinzolamide / timolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Ophthalmic Drugs,,
brivaracetam,B3,,Central Nervous System,Anticonvulsants/antiepileptics,
brolucizumab,D,"Based on the mechanism of action, brolucizumab is regarded as potentially teratogenic and embryo/fetotoxic. ",Ophthalmic Drugs,,
bromazepam,C,"Benzodiazepines may cause hypotonia, respiratory depression and hypothermia in the newborn infant if used in high doses during labour. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.",Central Nervous System,Benzodiazepines,
bromhexine,A,,Respiratory System,Expectorants and mucolytics,
bromocriptine (injection),B2,,Endocrine System,Pituitary inhibitors,
bromocriptine (oral),A,,Endocrine System,Pituitary inhibitors,
brompheniramine,A,,Allergy and Immune System,Antihistamines,
budesonide,A,The benefits of asthma control outweigh any potential for an adverse pregnancy outcome.,Endocrine System,Corticosteroids,Inhalation/intranasal
budesonide,A,The benefits of asthma control outweigh any potential for an adverse pregnancy outcome.,Respiratory System,Inhalational agents,Preventative aerosols and inhalations
budesonide (systemic),B3,,Alimentary System,Antidiarrhoeals,
bulevirtide ,B1,,Antimicrobials,Antiviral agents,
bumetanide,C,"Thiazides, related diuretics and loop diuretics may cause electrolyte disturbances in the fetus. Neonatal thrombocytopenia has been reported with thiazides and related diuretics. Loop diuretics, like frusemide and bumetanide, are probably also associated with this risk. During the latter part of pregnancy products of this type should only be given on sound indications, and then in the lowest effective dose.",Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics"
bupivacaine,A,,Drugs Used in Anaesthesia,Local anaesthetics,
bupivacaine / fentanyl,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal and anti-inflammatory agents),
buprenorphine,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
bupropion,B2,,Agents used in dependency states,,
burosumab,B3,,Endocrine System,Agents affecting calcium and bone metabolism,
buspirone,B1,,Central Nervous System,Antianxiety agents,
busulfan,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Alkylating agents,
butoconazole,B3,,Antimicrobials,Antifungal agents (see also topical antifungals),
cabazitaxel,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
cabergoline,B1,,Endocrine System,Pituitary inhibitors,
cabotegravir,B1,,Antimicrobials,Antiviral agents,
cabozantinib,D,Animal studies in rats or rabbits with cabozantinib have shown adverse effects of embryofetal lethality and and teratogenicity. ,Antineoplastic Agents,,
caffeine,A,,Central Nervous System,CNS stimulants,
calcipotriol,B1,,Drugs used in Dermatology,Topical,
calcitonin,B2,,Endocrine System,Agents affecting calcium and bone metabolism,
calcitonin salmon,B2,,Endocrine System,Agents affecting calcium and bone metabolism,
calcitriol,B3,,Endocrine System,Agents affecting calcium and bone metabolism,
calcium carbimide,A,,Agents used in dependency states,,
canagliflozin,C,Studies in rats have shown toxicity to the developing kidney in the time period corresponding to the second and third trimesters of human pregnancy. ,Endocrine System,Hypoglycaemic agents,
canakinumab,B3,,Allergy and Immune System,Immunomodifiers,
candesartan cilexetil,D,"When used in pregnancy during the second and third trimesters, drugs that act directly on the renin-angiotensin system can cause injury and even death in the developing fetus. Although no adverse fetal effects have been linked to first trimester drug use of ARAs, the number of exposures reported is too small to determine conclusively that ARAs are safe in the first trimester. Pregnant women who are taking ARAs should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure. It is generally advisable not to use ARAs for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors
cannabidiol ,B2,,Central Nervous System,Anticonvulsants/antiepileptics,
capecitabine,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
capivasertib,D,"PI3K/AKT/mTOR signalling plays important roles in embryofetal development. Akt knockout results in a range of fetal defects in mice. Capivasertib caused an increase in early embryonic deaths, and fetal visceral abormalities in rats. ",Antineoplastic Agents,,
caplacizumab,B1,,Cardiovascular System,Anticoagulants and thrombolytic agents,
captopril,D,"When taken during the second and third trimesters, ACE inhibitors cause a range of abnormalities including renal dysfunction and oligohydramnios. These can be associated with fetal death in utero. Although no adverse fetal effects have been linked to first trimester drug use of ACE inhibitors, the number of exposures reported is too small to determine conclusively that ACE inhibitors are safe in the first trimester.  Pregnant women who are taking ACE inhibitors should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure.  It is generally advisable not to use ACE inhibitors for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors
carbachol,B2,,Ophthalmic Drugs,,
carbamazepine,D,"Spina bifida occurs in about one percent of pregnancies in which carbamazepine is used as monotherapy. Carbamazepine taken during pregnancy also has been associated with minor craniofacial defects, fingernail hypoplasia and developmental disability. Carbamazepine also can cause coagulation defects with consequent risk of haemorrhage in the fetus and the newborn infant which may be preventable by the prophylactic administration of vitamin K to the mother prior to delivery.  The risk of having an abnormal child as a result of antiepileptic medication is far outweighed by the dangers to the mother and fetus of uncontrolled epilepsy. 
It is recommended that:
• women on antiepileptic drugs (AEDs) receive prepregnancy counselling with regard to the risk of fetal abnormalities;
• AEDs should be continued during pregnancy and monotherapy should be used if possible at the lowest effective dose as risk of abnormality is greater in women taking combined medication;
• folic acid supplementation (5mg) should be commenced four weeks prior to and continue for twelve weeks after conception;
• Specialist prenatal diagnosis including detailed mid-trimester ultrasound should be offered.",Central Nervous System,Anticonvulsants/antiepileptics,
